Eruption Number,Volcano Name,Eruption Category,Evidence Type,Evidence Method,VEI,Start Year,Start Month,Start Day,End Year,End Month,End Day
15059,Ulawun,Confirmed,Observations,Reported,2.0,1989,1.0,1.0,1989.0,12.0,16.0
12466,Kick 'em Jenny,Confirmed,Observations,Hydrophonic,0.0,1988,12.0,29.0,1988.0,12.0,30.0
12016,Lonquimay,Confirmed,Observations,Reported,3.0,1988,12.0,25.0,1990.0,1.0,24.0
18660,Tokachidake,Confirmed,Observations,Reported,2.0,1988,12.0,10.0,1989.0,5.0,16.0
14657,Ruapehu,Confirmed,Observations,Reported,1.0,1988,12.0,8.0,1989.0,3.0,5.0
19584,Sheveluch,Confirmed,Observations,Reported,2.0,1988,12.0,7.0,1988.0,12.0,7.0
11673,Fernandina,Confirmed,Observations,Reported,2.0,1988,9.0,14.0,1988.0,9.0,16.0
14711,Monowai,Confirmed,Observations,Hydrophonic,0.0,1988,9.0,8.0,1988.0,9.0,8.0
18518,Pagan,Confirmed,Observations,Reported,2.0,1988,8.0,24.0,1988.0,10.0,12.0
13375,Epi,Uncertain,Uncertain,Unspecified,0.0,1988,8.0,16.0,,,
16689,Kie Besi,Confirmed,Observations,Reported,3.0,1988,7.0,29.0,1988.0,8.0,5.0
15762,Slamet,Confirmed,Observations,Reported,1.0,1988,7.0,12.0,1988.0,7.0,13.0
10340,Northern EPR at 9.8°N,Confirmed,Observations,Reported,0.0,1988,7.0,2.0,,,
11749,Sabancaya,Confirmed,Observations,Reported,1.0,1988,6.0,22.0,1988.0,10.0,16.0
16740,Kanlaon,Confirmed,Observations,Reported,1.0,1988,6.0,21.0,1988.0,7.0,2.0
11071,Concepcion,Confirmed,Observations,Reported,2.0,1988,6.0,16.0,,,
10472,Colima,Uncertain,Uncertain,Unspecified,2.0,1988,6.0,15.0,,,
14732,Hunga Tonga-Hunga Ha'apai,Confirmed,Observations,Reported,0.0,1988,6.0,1.0,1988.0,6.0,3.0
17344,Asosan,Confirmed,Observations,Reported,1.0,1988,5.0,26.0,1989.0,1.0,16.0
16420,Banda Api,Confirmed,Observations,Reported,3.0,1988,5.0,9.0,1988.0,5.0,17.0
16458,Lokon-Empung,Confirmed,Observations,Reported,1.0,1988,4.0,21.0,1988.0,5.0,1.0
20032,Akutan,Confirmed,Observations,Reported,2.0,1988,3.0,26.0,1988.0,7.0,20.0
14656,Ruapehu,Confirmed,Observations,Reported,1.0,1988,3.0,20.0,1988.0,5.0,25.0
18331,Myojinsho,Uncertain,Uncertain,Unspecified,0.0,1988,3.0,18.0,1988.0,3.0,19.0
16768,Bulusan,Confirmed,Observations,Reported,2.0,1988,2.0,20.0,1988.0,3.0,8.0
15616,Krakatau,Confirmed,Observations,Reported,2.0,1988,2.0,14.0,1988.0,4.0,16.0
16669,Gamalama,Confirmed,Observations,Reported,2.0,1988,2.0,12.0,1988.0,3.0,16.0
15287,Ambrym,Confirmed,Observations,Reported,3.0,1988,2.0,12.0,1988.0,8.0,23.0
18400,Kita-Fukutokutai,Uncertain,Uncertain,Unspecified,1.0,1988,1.0,27.0,,,
16996,Kikai,Confirmed,Observations,Reported,1.0,1988,1.0,18.0,1988.0,1.0,18.0
16940,Suwanosejima,Confirmed,Observations,Reported,2.0,1988,1.0,16.0,1989.0,12.0,16.0
18701,Akan,Confirmed,Observations,Reported,1.0,1988,1.0,5.0,1988.0,2.0,18.0
14074,Nyamulagira,Confirmed,Observations,Reported,1.0,1987,12.0,30.0,1988.0,1.0,4.0
16254,Ranakah,Confirmed,Observations,Reported,3.0,1987,12.0,28.0,1989.0,4.0,16.0
11899,Tupungatito,Confirmed,Observations,Reported,2.0,1987,11.0,28.0,1987.0,11.0,30.0
11865,Lascar,Confirmed,Observations,Reported,3.0,1987,11.0,16.0,1990.0,4.0,6.0
10932,Telica,Confirmed,Observations,Reported,1.0,1987,11.0,16.0,1987.0,11.0,16.0
18243,Izu-Oshima,Confirmed,Observations,Reported,2.0,1987,11.0,16.0,1988.0,1.0,27.0
22471,"Fournaise, Piton de la",Confirmed,Observations,Reported,0.0,1987,11.0,6.0,1988.0,12.0,29.0
18330,Myojinsho,Uncertain,Uncertain,Unspecified,0.0,1987,10.0,21.0,1987.0,12.0,9.0
18874,Ebeko,Confirmed,Observations,Reported,1.0,1987,10.0,14.0,1988.0,1.0,16.0
16325,Iliboleng,Confirmed,Observations,Reported,2.0,1987,10.0,2.0,1987.0,10.0,2.0
